lot,n,tipologie
http://w3id.org/zac/81913_lot_6,13,ARMI | BRONZI; FERRI; OGGETTI VARI IN METALLO | COPPE | MOBILI | MODELLI | OROLOGI | OGGETTI VARI | PIATTI | OGGETTI IN LEGNO | STAMPE E INCISIONI | Porcellane; Maioliche | Porcellane; maioliche | PORCELLANE; MAIOLICHE | SCATOLE | SCULTURE
http://w3id.org/zac/83709_lot_3,13,AUTOMOBILI | BOTTIGLIE | LAQUES; EMAUX CLOISONNES | MERLETTI | PERLES; DIAMANTS | OGGETTI IN LEGNO | OGGETTI VARI | PORCELAINES; FAIENCES | TENTURES; BRODERIES; GUIPURES | VENTAGLI | SCULTURE | VASI | Porcelaines; faiences | Porcelaines; Faiences | SEDIE
http://w3id.org/zac/87363_lot_11,13,Bronce; Messingwaaren | Kostumstucke; Kostume; Stickereien | MOBILI | Kriegs- und Jagd-Waffen; Jagdgerathschaften | OGGETTI IN LEGNO | OGGETTI IN LATTA | OGGETTI IN FERRO | OGGETTI IN RAME | OGGETTI VARI | SCATOLE | VETRI | TESSUTI | PIATTI
http://w3id.org/zac/87363_lot_8,13,BRONZI | Bronce; Messingwaaren | Leinenwaaren; Weissstickereien | Kostumstucke; Kostume; Stickereien | MERLETTI | Fayence; glasirte Thonwaaren | Kriegs- und Jagd-Waffen; Jagdgerathschaften | MAIOLICHE | MOBILI | OGGETTI IN FERRO | OGGETTI IN LATTA | OGGETTI VARI | TESSUTI
http://w3id.org/zac/87382_lot_2,13,ARGENTI | BRONZI | Anhänger; Colliers | CORNICI | ALTERTÜMER | OROLOGI | OGGETTI IN RAME | OGGETTI IN FERRO | SMALTI | TAFEL-GERÄTE | SCATOLE | Riechbüchschen; Flacons | STAGNI
http://w3id.org/zac/87763_lot_5,13,BIANCHERIA | Altertumer; Kunstgegenstande | MEDAGLIE | OGGETTI VARI | OGGETTI IN LEGNO | OGGETTI LITURGICI | Taufbecken; Kelche; Weihwasserbecken; Kirchenlampen | PLACCHETTE | Tableaux; Peintures; Gravures | Plaquettes; Plaquetten | plats; assiettes; Platten; Teller | Services a the; Services a cafe; Thee-Service; Kaffee-Service | PIATTI
http://w3id.org/zac/88058_lot_2,13,BESTECKE; WAFFEN; BUCHER; EINBANDE | DOSEN; TASCHENUHREN; FACHER | MOBEL; SPIEGEL; STANDUHREN | FAYENCE; MAJOLIKA; STEINGUT; GLAS | MINIATUREN; OLBILDER; STICHE | MINIATURE | OGGETTI IN RAME | OGGETTI IN ORO | OGGETTI IN CERA | OGGETTI VARI | SPECCHI | VASI | SILBER; EMAIL; DOSEN; TASCHENUHREN; FACHER
http://w3id.org/zac/88219_lot_1,13,BRONZI | ACQUEFORTI | FRANCOBOLLI | Holzskulpturen; Broncen | MINIATURE | MAIOLICHE | OROLOGI | OGGETTI IN LATTA | VETRI | PORCELLANE | Waffen; Musikinstrumente | VASI | STAMPE E INCISIONI
http://w3id.org/zac/88321_lot_4,13,CORNICI | ARTI GRAFICHE | Gold; Silber | FAYENCE; MAJOLIKA | GOLD; SILBER | Fayence; Majolika | OGGETTI IN ORO | OGGETTI IN LEGNO | OGGETTI IN LATTA | TESSUTI | PORCELLANE | PLAKETTEN; MUNZEN; MINIATUREN; BUCHER | STEIN; METALL | SCULTURE | STAMPE E INCISIONI
http://w3id.org/zac/88743_lot_4,13,ARMI | ARGENTI | MOBEL; SITZMOBEL | MOBILI | FOTOGRAFIE | LAMPADE | MAIOLICHE | OGGETTI VARI | OGGETTI IN LEGNO | ORIGINALAQUARELLE; ZEICHNUNGEN | OGGETTI IN LATTA | TESSUTI | PORCELLANE
http://w3id.org/zac/88755_lot_2,13,Bronze; Zinn; Bildwerke | BRONZI | MOBILI | MINIATURE | OGGETTI IN PELLE | OGGETTI IN RAME | OGGETTI IN LEGNO | OGGETTI VARI | Porzellan; Fayence | PORZELLAN; FAYENCE | Siberarbeiten; Mobel | PIATTI | TESSUTI | TAPPETI
http://w3id.org/zac/50064_lot_I,12,BIANCHERIA | CERAMICHE | ACQUEFORTI | ETOFFES; BRODERIES | MOBILI | OGGETTI VARI | OROLOGI | PASTELS; DESSINS | VASI | STAMPE E INCISIONI | PORCELLANE | SCULTURE
http://w3id.org/zac/5444_lot_2,12,BIANCHERIA | ARAZZI | ARREDAMENTI | Mardi 10 Mai | Mercredi 11 Mai | MOBILI | OGGETTI IN LEGNO | OGGETTI VARI | Tapisseries; Etoffes | TAPISSERIES; ETOFFES | SCULTURE | Vendredi 13 Mai | STAMPE E INCISIONI
http://w3id.org/zac/81772_lot_2,12,7 Aprile 1908 | 31 Marzo 1908 | 10 Aprile | 4 Aprile 1908 | 3 aprile | 30 Marzo 1908 | 1. aprile | 6 aprile | 8 Aprile | 9 aprile | POLTRONE | VASI DA FARMACIA
http://w3id.org/zac/81800_lot_3,12,ARGENTI | BOTTIGLIE | BRONZI | MAIOLICHE | MOBILI | MONETE | LIBRI | GIOIELLI | OGGETTI VARI | OGGETTI IN LEGNO | VETRI | REPERTI ARCHEOLOGICI
http://w3id.org/zac/81913_lot_8,12,ARMI | BOTTIGLIE | MAIOLICHE | OGGETTI VARI | PENDOLE; OROLOGI | PIATTI | SCATOLE; TABACCHIERE | Porcellane; maioliche | PORCELLANE; MAIOLICHE | Porcellane; Maioliche | SCATOLE | VASI | SCULTURE | STAMPE E INCISIONI
http://w3id.org/zac/87358_lot_3,12,DIPINTI | BRONZI | ARGENTI | AVORI | OGGETTI IN FERRO | OGGETTI IN PELLE | OGGETTI IN LEGNO | SMALTI | TERRECOTTE | SCATOLE | VETRI | STAGNI
http://w3id.org/zac/87363_lot_10,12,Bilder; Miniaturen | Bronce; Messingwaaren | Kostumstucke; Kostume; Stickereien | Fayence; glasirte Thonwaaren | Kriegs- und Jagd-Waffen; Jagdgerathschaften | OGGETTI IN LATTA | OGGETTI IN LEGNO | OGGETTI IN FERRO | OGGETTI VARI | TESSUTI | PIATTI | VETRI
